Time (s),Ch1 (V),Ch2 (V)
0.0568750,1.1980923,1.1666606
0.0570000,1.1303933,1.1328111
0.0571250,1.0868724,1.0965437
0.0572500,1.0457694,1.0530229
0.0573750,0.9877416,0.9998308
0.0575000,0.9563099,0.9538921
0.0576250,0.9031178,0.9055356
0.0577500,0.8450900,0.8475078
0.0578750,0.8281652,0.8378365
0.0580000,0.7580483,0.7628840
0.0581250,0.7217810,0.7266166
0.0582500,0.6734245,0.6758423
0.0583750,0.6299036,0.6371571
0.0585000,0.5791293,0.5863828
0.0586250,0.5597867,0.5622046
0.0587500,0.5090124,0.5114303
0.0588750,0.4848342,0.4920877
0.0590000,0.4388955,0.4413134
0.0591250,0.4195529,0.4195529
0.0592500,0.3760321,0.3784499
0.0593750,0.3542717,0.3639430
0.0595000,0.3180043,0.3155865
0.0596250,0.2914083,0.2962439
0.0597500,0.2551409,0.2672300
0.0598750,0.2478874,0.2503053
0.0600000,0.2212914,0.2212914
0.0601250,0.2067844,0.2140379
0.0602500,0.1971131,0.1971131
0.0603750,0.1874418,0.1922775
0.0605000,0.1801883,0.1680992
0.0606250,0.1777705,0.1850240
0.0607500,0.1729349,0.1753527
0.0608750,0.1729349,0.1898596
0.0610000,0.1656814,0.1680992
0.0611250,0.1680992,0.1777705
0.0612500,0.1632636,0.1729349
0.0613750,0.1656814,0.1729349
0.0615000,0.1632636,0.1705171
0.0616250,0.1705171,0.1753527
0.0617500,0.1680992,0.1729349
0.0618750,0.1680992,0.1729349
0.0620000,0.1632636,0.1753527
0.0621250,0.1656814,0.1753527
0.0622500,0.1680992,0.1729349
0.0623750,0.1705171,0.1729349
0.0625000,0.1705171,0.1801883
0.0626250,0.1487566,0.1729349
0.0627500,0.1705171,0.1729349
0.0628750,0.1656814,0.1753527
0.0630000,0.1753527,0.1777705
0.0631250,0.1705171,0.1753527
0.0632500,0.1801883,0.1801883
0.0633750,0.1850240,0.1874418
0.0635000,0.1995309,0.1995309
0.0636250,0.2067844,0.2116201
0.0637500,0.2237092,0.2382161
0.0638750,0.2478874,0.2503053
0.0640000,0.2672300,0.2696478
0.0641250,0.2841548,0.2889904
0.0642500,0.3252578,0.3252578
0.0643750,0.3518539,0.3542717
0.0645000,0.3760321,0.3784499
0.0646250,0.4074638,0.4147173
0.0647500,0.4437312,0.4388955
0.0648750,0.4993411,0.4969233
0.0650000,0.5476976,0.5549511
0.0651250,0.6081432,0.5815472
0.0652500,0.6250680,0.6299036
0.0653750,0.6782601,0.6855136
0.0655000,0.7314523,0.7362879
0.0656250,0.7628840,0.7701375
0.0657500,0.8233296,0.8499257
0.0658750,0.8571791,0.8644326
0.0660000,0.9272960,0.9345495
0.0661250,0.9635634,0.9563099
0.0662500,1.0264268,1.0119199
0.0663750,1.0506051,1.0506051
0.0665000,1.0747833,1.0941259
0.0666250,1.1497359,1.1521537
0.0667500,1.1835854,1.1763319
0.0668750,1.2391953,1.2343597
0.0670000,1.2875518,1.2875518
0.0671250,1.3020588,1.3093122
0.0672500,1.3262370,1.3310727
0.0673750,1.3794292,1.3794292
0.0675000,1.4277856,1.4302035
0.0676250,1.4471282,1.4447104
0.0677500,1.4688886,1.4664708
0.0678750,1.5075738,1.5099917
0.0680000,1.5390055,1.5390055
0.0681250,1.5559303,1.5583481
0.0682500,1.5728551,1.5752729
0.0683750,1.5897799,1.5873620
0.0685000,1.6042868,1.6115403
0.0686250,1.6115403,1.6067046
0.0687500,1.6139581,1.6139581
0.0688750,1.5583481,1.6187937
0.0690000,1.6260472,1.6284650
0.0691250,1.6260472,1.6308829
0.0692500,1.6236294,1.6236294
0.0693750,1.6163759,1.6429720
0.0695000,1.6091225,1.6091225
0.0696250,1.5873620,1.5849442
0.0697500,1.5776907,1.5801086
0.0698750,1.5656016,1.5583481
0.0700000,1.5438412,1.5414234
0.0701250,1.5027382,1.5075738
0.0702500,1.4737243,1.4737243
0.0703750,1.4543817,1.4495461
0.0705000,1.4350391,1.4326213
0.0706250,1.4036074,1.4108609
0.0707500,1.3721757,1.3745935
0.0708750,1.3189835,1.3189835
0.0710000,1.2923875,1.3165657
0.0711250,1.2343597,1.2391953
0.0712500,1.2222706,1.2246884
0.0713750,1.1835854,1.1860032
0.0715000,1.1231398,1.1279754
0.0716250,1.0602764,1.0651120
0.0717500,1.0433516,1.0433516
0.0718750,1.0119199,1.0336803
0.0720000,0.9345495,0.9393851
0.0721250,0.8982821,0.8692682
0.0722500,0.8475078,0.8499257
0.0723750,0.8281652,0.8305831
0.0725000,0.7677196,0.7749731
0.0726250,0.7411236,0.7507949
0.0727500,0.7314523,0.7121097
0.0728750,0.6710067,0.6830958
0.0730000,0.6492462,0.6516641
0.0731250,0.6105611,0.6178145
0.0732500,0.5815472,0.5863828
0.0733750,0.5331907,0.5356085
0.0735000,0.5138481,0.5138481
0.0736250,0.4920877,0.4799985
0.0737500,0.4437312,0.4437312
0.0738750,0.4292242,0.4340599
0.0740000,0.3905391,0.3977925
0.0741250,0.3663608,0.3711965
0.0742500,0.3373469,0.3470182
0.0743750,0.3300934,0.3300934
0.0745000,0.3204222,0.3034974
0.0746250,0.2914083,0.2962439
0.0747500,0.2744835,0.2865726
0.0748750,0.2430518,0.2648122
0.0750000,0.2430518,0.2478874
0.0751250,0.2357983,0.2575587
0.0752500,0.2261270,0.2551409
0.0753750,0.2237092,0.2212914
0.0755000,0.2092022,0.2140379
0.0756250,0.2043666,0.2067844
0.0757500,0.1946953,0.1995309
0.0758750,0.2067844,0.1922775
0.0760000,0.1898596,0.1898596
0.0761250,0.1850240,0.1826062
0.0762500,0.1874418,0.1874418
0.0763750,0.1753527,0.1826062
0.0765000,0.1801883,0.1801883
0.0766250,0.1753527,0.1753527
0.0767500,0.1850240,0.1753527
0.0768750,0.1729349,0.1777705
0.0770000,0.1753527,0.1801883
0.0771250,0.1729349,0.1826062
0.0772500,0.1680992,0.1995309
0.0773750,0.1632636,0.1777705
0.0775000,0.1729349,0.1705171
0.0776250,0.1729349,0.1753527
0.0777500,0.1584279,0.1753527
0.0778750,0.1705171,0.1753527
0.0780000,0.1753527,0.1729349
0.0781250,0.1777705,0.1777705
0.0782500,0.1656814,0.1705171
0.0783750,0.1680992,0.1729349
0.0785000,0.1729349,0.1777705
0.0786250,0.1656814,0.1705171
0.0787500,0.1705171,0.1753527
0.0788750,0.1753527,0.1729349
0.0790000,0.1729349,0.1801883
0.0791250,0.1680992,0.1801883
0.0792500,0.1753527,0.1801883
0.0793750,0.1705171,0.1753527
0.0795000,0.1705171,0.1777705
0.0796250,0.1705171,0.1753527
0.0797500,0.1705171,0.1753527
0.0798750,0.1705171,0.1729349
0.0800000,0.1753527,0.1777705
0.0801250,0.1680992,0.1729349
0.0802500,0.1753527,0.1777705
0.0803750,0.1680992,0.1729349
0.0805000,0.1680992,0.1705171
0.0806250,0.1705171,0.1777705
0.0807500,0.1729349,0.1705171
0.0808750,0.1705171,0.1729349
0.0810000,0.1632636,0.1705171
0.0811250,0.1874418,0.1777705
0.0812500,0.1584279,0.1753527
0.0813750,0.1608458,0.1680992
0.0815000,0.1705171,0.1995309
0.0816250,0.1705171,0.1777705
0.0817500,0.1777705,0.1801883
0.0818750,0.1729349,0.1729349
0.0820000,0.1729349,0.1753527
0.0821250,0.1705171,0.1777705
0.0822500,0.1680992,0.1729349
0.0823750,0.1705171,0.1705171
0.0825000,0.1777705,0.1898596
0.0826250,0.1608458,0.1729349
0.0827500,0.1729349,0.1777705
0.0828750,0.1656814,0.1705171
0.0830000,0.1753527,0.1705171
0.0831250,0.1632636,0.1680992
0.0832500,0.1729349,0.1971131
0.0833750,0.1680992,0.1753527
0.0835000,0.1705171,0.1777705
0.0836250,0.1729349,0.1801883
